Index, etap, seq0p, pp, ep, etas, seq0s, ps
50, 36928941680.0, 37.39, 0.725, 63.59, 11015435307030.0, 20.66, 1.19
51, 44663578210.0, 24.89, 0.324, 85.67, 22237378735540.0, 26.53, 1.544
52, 19623681710.0, 34.9, 0.841, 74.02, 27039346847530.0, 36.28, 0.582
53, 23820593680.0, 20.68, 0.778, 68.7, 33030516185760.0, 33.14, 1.277
54, 17316661720.0, 27.23, 0.855, 88.39, 8586733356710.0, 22.82, 1.265
55, 31949016290.0, 28.2, 0.956, 64.13, 5008303810360.0, 28.76, 1.996
56, 10248867910.0, 38.2, 0.467, 76.83, 39084501743320.0, 39.05, 0.895
57, 6901300210.0, 22.99, 0.931, 88.94, 12427230763440.0, 35.83, 1.429
58, 29333376620.0, 32.99, 0.419, 70.6, 36678487129210.0, 25.73, 0.703
59, 48914624660.0, 25.5, 0.804, 78.75, 25717726593020.0, 21.45, 1.844
60, 27171424310.0, 35.51, 0.621, 66.03, 20806265773770.0, 31.36, 1.023
61, 16274607170.0, 28.75, 0.383, 61.73, 14657474212650.0, 38.22, 1.741
62, 42049445370.0, 38.76, 0.877, 79.02, 29302292690280.0, 28.35, 1.156
63, 39539811570.0, 21.27, 0.478, 72.17, 42831375904080.0, 23.84, 1.485
64, 14456861690.0, 31.26, 0.688, 83.83, 8874163445230.0, 33.97, 0.618
65, 13981628160.0, 23.71, 0.504, 70.37, 23280548357960.0, 39.16, 0.786
66, 39806216980.0, 33.71, 0.671, 88.7, 28122274274830.0, 29.27, 1.326
67, 41786484170.0, 26.19, 0.356, 65.79, 34290240240100.0, 23.54, 0.94
68, 16746395070.0, 36.2, 0.894, 78.51, 9974606287480.0, 33.65, 1.948
69, 26883309870.0, 29.46, 0.787, 78.79, 6393220281600.0, 36.8, 1.236
70, 49365159560.0, 39.47, 0.647, 61.5, 40433182611470.0, 26.64, 1.634
71, 28886285930.0, 21.96, 0.948, 83.59, 31679429826740.0, 21.17, 0.538
72, 7185968670.0, 31.96, 0.392, 71.93, 17121495223050.0, 31.02, 1.591
73, 9778392470.0, 26.85, 0.984, 63.34, 24641144285200.0, 34.08, 1.107
74, 32210663250.0, 36.85, 0.451, 80.64, 19756445131300.0, 24.35, 1.787
75, 46037519300.0, 24.34, 0.75, 73.77, 13479466166500.0, 28.46, 0.666
76, 24294149010.0, 34.34, 0.589, 85.44, 37752645406720.0, 38.73, 1.44
77, 19337334690.0, 20.15, 0.308, 86.81, 41489058694840.0, 31.87, 0.752
78, 45112345680.0, 30.15, 0.869, 68.45, 7482577993870.0, 21.57, 1.384
79, 36477092540.0, 27.64, 0.552, 76.61, 16051382017140.0, 26.25, 0.976
80, 11393951480.0, 37.64, 0.697, 63.88, 30642278566360.0, 35.94, 1.889
81, 12320389070.0, 28.41, 0.456, 83.27, 11513092088700.0, 22.26, 1.268
82, 34065655660.0, 38.42, 0.967, 72.42, 35788068494800.0, 32.42, 0.871
83, 44185818160.0, 20.9, 0.584, 80.58, 27233429174420.0, 35.39, 1.958
84, 21748863630.0, 30.9, 0.767, 60.35, 22345706934930.0, 25.55, 0.904
85, 23364337310.0, 24.84, 0.83, 67.34, 18623494849210.0, 24.94, 1.709
86, 48452332420.0, 34.84, 0.335, 77.14, 33216116724010.0, 34.74, 1.17
87, 33140385730.0, 27.32, 0.736, 70.27, 39507258653640.0, 38.07, 1.565
88, 42398851800.0, 37.23, 0.322, 71.09, 42664368095400.0, 33.12, 0.865
89, 4774510100.0, 21.52, 0.677, 75.28, 36862891874310.0, 27.34, 1.744
90, 29812745480.0, 31.52, 0.489, 65.5, 12545533175470.0, 37.34, 1.112
91, 51776709740.0, 29.01, 0.888, 87.59, 21294615182880.0, 30.47, 1.529
92, 25956761110.0, 39.01, 0.372, 68.43, 26139287710190.0, 20.47, 0.616
93, 19161186950.0, 25.41, 0.61, 74.34, 29716039438250.0, 29.87, 1.398
94, 40856693720.0, 35.4, 0.815, 85.17, 15156307668690.0, 39.82, 0.717
95, 37391517160.0, 22.89, 0.43, 62.27, 8983668608670.0, 32.99, 1.83
96, 14911328690.0, 32.9, 0.92, 82.48, 43026654024120.0, 22.95, 1.056
97, 15854641790.0, 25.71, 0.744, 89.54, 16539381494520.0, 20.22, 1.987
98, 37921597540.0, 35.7, 0.604, 69.44, 31065529088970.0, 30.09, 0.886
99, 40698016290.0, 23.22, 0.992, 77.47, 39853171949390.0, 37.09, 1.285
100, 17846468770.0, 33.22, 0.436, 66.74, 5777214594480.0, 26.96, 0.841
101, 25784878980.0, 22.44, 0.548, 60.49, 9335268874170.0, 22.61, 1.535
102, 50451984640.0, 32.45, 0.714, 79.77, 33695592699050.0, 32.7, 0.573
103, 30766384850.0, 29.96, 0.312, 72.79, 27485579309460.0, 39.49, 1.692
104, 5317475740.0, 39.95, 0.85, 82.7, 22683260107040.0, 29.58, 1.199
105, 8642256500.0, 23.9, 0.351, 81.67, 30052367849350.0, 25.3, 1.499
106, 33358396540.0, 33.89, 0.912, 62.4, 15407307200430.0, 35.01, 0.633
107, 47862510800.0, 26.4, 0.508, 84.6, 6890044527050.0, 32.17, 1.727
108, 22457560200.0, 36.4, 0.653, 74.7, 40847608366010.0, 21.89, 1.141
109, 21172643250.0, 28.09, 0.941, 67.6, 37143500032420.0, 27.53, 1.859
110, 43288634430.0, 38.09, 0.408, 87.69, 12892596495150.0, 37.78, 1.038
111, 35333517240.0, 20.6, 0.794, 64.91, 19145175833700.0, 34.41, 1.415
112, 12525929470.0, 30.6, 0.633, 75.62, 24056396799090.0, 24.66, 0.688
113, 10485267450.0, 21.08, 0.873, 71.6, 4927209416180.0, 38.39, 0.958
114, 35889177130.0, 31.08, 0.378, 84.18, 38881863470080.0, 28.17, 1.919
115, 45329206520.0, 28.59, 0.692, 61.4, 32643447675700.0, 24.01, 0.815
116, 20617072580.0, 38.59, 0.481, 79.62, 18000149431230.0, 33.79, 1.308
117, 24500648890.0, 27.16, 0.413, 78.14, 21718458967210.0, 35.69, 0.52
118, 47304423520.0, 37.15, 0.924, 66.37, 26626693925860.0, 25.87, 1.621
119, 31315218630.0, 24.66, 0.628, 88.57, 35158121881480.0, 21.32, 1.207
120, 9200435470.0, 34.67, 0.811, 71.18, 10909053747650.0, 31.5, 1.652
121, 5873116520.0, 29.14, 0.566, 64.46, 42424655599590.0, 33.31, 0.648
122, 28725744780.0, 39.15, 0.772, 76.24, 8351683527230.0, 23.25, 1.469
123, 49896435210.0, 21.66, 0.474, 69.26, 14557024111750.0, 28.94, 1.078
124, 27825429830.0, 31.65, 0.964, 86.67, 29081337461470.0, 38.87, 1.805
125, 17288360250.0, 22.76, 0.721, 86.04, 25518647890090.0, 30.77, 0.993
126, 42741126220.0, 32.75, 0.532, 73.44, 20719238219260.0, 20.79, 1.86
127, 38479798110.0, 25.27, 0.844, 81.47, 11926924581530.0, 26.4, 0.781
128, 13811441930.0, 35.27, 0.328, 63.24, 36285486001970.0, 36.42, 1.366
129, 13681347800.0, 20.31, 0.733, 79.28, 9911428549290.0, 24.41, 1.071
130, 38713585450.0, 30.3, 0.528, 60.95, 34200356454850.0, 34.65, 1.796
131, 42874946390.0, 27.8, 0.827, 84.08, 28213353853230.0, 37.54, 0.656
132, 17049396670.0, 37.8, 0.337, 71.38, 23340158414840.0, 27.78, 1.476
133, 28068030220.0, 26.69, 0.581, 70.87, 17325295686720.0, 22.17, 0.758
134, 49757528030.0, 36.69, 0.77, 88.14, 31932442045210.0, 31.89, 1.345
135, 28489748150.0, 24.19, 0.453, 66.3, 40183720693590.0, 35.3, 1.014
136, 6003969560.0, 34.18, 0.97, 77.94, 6188242564200.0, 25.02, 1.883
137, 9335630430.0, 29.63, 0.427, 86.3, 38004480371480.0, 29.49, 0.817
138, 31074888410.0, 39.62, 0.922, 69.02, 13682070837020.0, 39.57, 1.309
139, 47175650710.0, 22.11, 0.607, 76.11, 19550271620750.0, 32.62, 0.957
140, 24733106420.0, 32.12, 0.817, 64.44, 24390505113600.0, 22.7, 1.917
141, 20379573350.0, 23.55, 0.886, 62.85, 30553572034840.0, 27.09, 1.222
142, 45461570840.0, 33.55, 0.374, 81.19, 15989398913380.0, 36.97, 1.669
143, 36130223950.0, 26.04, 0.674, 73.28, 7543382685180.0, 30.22, 0.503
144, 10347908180.0, 36.04, 0.491, 86.0, 41581315526960.0, 20.09, 1.605
145, 12762607290.0, 25.56, 0.95, 66.85, 22447457113270.0, 36.39, 1.735
146, 35200524130.0, 35.56, 0.39, 77.69, 27284741678240.0, 26.42, 1.147
147, 43046780380.0, 23.06, 0.79, 69.78, 35735578737260.0, 20.76, 1.492
148, 39193124260.0, 24.75, 0.705, 78.19, 29468123245240.0, 39.69, 1.963
149, 22321554820.0, 21.37, 0.358, 82.77, 5256682982150.0, 38.94, 1.437
150, 48102200890.0, 31.36, 0.892, 72.98, 39291594114300.0, 28.87, 0.71
151, 33486347950.0, 28.85, 0.507, 80.08, 33428212423320.0, 23.32, 1.836
152, 8409170530.0, 38.85, 0.668, 60.92, 18865838785170.0, 33.24, 1.017
153, 5074246550.0, 24.99, 0.555, 74.84, 25924818964000.0, 31.31, 1.284
154, 13410635700.0, 34.74, 0.544, 66.52, 14948454022410.0, 29.99, 0.908
155, 50687341150.0, 27.49, 0.311, 62.77, 12789053785800.0, 25.69, 1.989
156, 25653215690.0, 37.48, 0.866, 81.92, 37076183366780.0, 35.88, 0.887
157, 17975922780.0, 28.26, 0.753, 75.78, 43076770734790.0, 34.02, 1.675
158, 40463418870.0, 38.25, 0.586, 64.95, 9084241243600.0, 23.79, 1.184
159, 37787148570.0, 20.75, 0.987, 88.08, 15056930537220.0, 28.39, 1.551
160, 16092783270.0, 30.75, 0.448, 67.88, 29662353887560.0, 38.16, 0.59
161, 14762373520.0, 27.94, 0.625, 60.11, 5603671782020.0, 36.24, 1.51
162, 37620953920.0, 37.93, 0.814, 80.21, 39572274112700.0, 25.95, 0.596
163, 41000653920.0, 20.44, 0.41, 72.41, 31345247354510.0, 21.87, 1.764
164, 18935294950.0, 30.45, 0.927, 83.14, 16716473593710.0, 31.57, 1.13
165, 26177611410.0, 24.05, 0.689, 89.16, 22698382487300.0, 38.46, 1.819
166, 51636341030.0, 34.05, 0.484, 69.87, 27621144247060.0, 28.72, 1.046
167, 29584022480.0, 26.56, 0.87, 77.09, 33556458921430.0, 24.09, 1.407
168, 4921301040.0, 36.56, 0.381, 67.18, 9321342287060.0, 34.35, 0.728
169, 7506119820.0, 22.29, 0.842, 67.98, 40984369096760.0, 31.16, 1.972
170, 32915996330.0, 32.29, 0.33, 87.25, 6906344161030.0, 21.02, 0.916
171, 48301829340.0, 29.8, 0.718, 65.28, 15394557867050.0, 26.79, 1.255
172, 23595330480.0, 39.8, 0.535, 75.18, 29914429864880.0, 36.65, 0.857
173, 21521507280.0, 25.86, 0.472, 82.05, 23774305486680.0, 33.54, 1.569
174, 44331234230.0, 35.87, 0.966, 61.96, 18970456781390.0, 23.64, 0.561
175, 34287835780.0, 23.37, 0.564, 84.98, 13068512499330.0, 29.17, 1.704
176, 12178699040.0, 33.37, 0.774, 74.26, 37422022504810.0, 39.27, 1.166
177, 11620497760.0, 22.6, 0.315, 78.52, 18288162932400.0, 23.0, 0.686
178, 36331036350.0, 32.61, 0.848, 65.93, 32809871492390.0, 32.94, 1.459
179, 44889344160.0, 25.11, 0.55, 88.95, 38716635446550.0, 39.87, 1.089
180, 19478395930.0, 35.11, 0.712, 70.73, 4635626568050.0, 29.81, 1.767
181, 24150878490.0, 29.3, 0.994, 71.98, 10780607950690.0, 20.46, 0.985
182, 46261279910.0, 39.3, 0.434, 83.75, 35135879201890.0, 30.47, 1.9
183, 32360356260.0, 21.81, 0.746, 61.78, 26652486906050.0, 37.34, 0.741
184, 9546759530.0, 31.81, 0.601, 79.18, 21845726351740.0, 27.35, 1.374
185, 6964478600.0, 26.99, 0.797, 85.66, 29057917528150.0, 28.07, 0.928
186, 29025844570.0, 37.0, 0.63, 73.87, 14427383680340.0, 37.86, 1.934
187, 49593253760.0, 24.51, 0.944, 81.09, 8477755697970.0, 34.95, 0.8
188, 26735697270.0, 34.51, 0.405, 63.68, 42449271326070.0, 24.74, 1.338
189, 16894721450.0, 21.24, 0.511, 64.07, 36453087072370.0, 25.38, 0.533
190, 41556226020.0, 31.23, 0.65, 76.68, 12216133875850.0, 35.55, 1.588
191, 39661616650.0, 28.74, 0.354, 68.88, 20428851671220.0, 32.26, 1.24
192, 14206710080.0, 38.75, 0.909, 87.11, 25354594802860.0, 22.43, 1.64
193, 14683393810.0, 26.3, 0.37, 73.65, 40060732440950.0, 26.92, 1.851
194, 39393761040.0, 36.31, 0.881, 85.42, 6025432777400.0, 37.15, 1.031
195, 41826438190.0, 23.8, 0.495, 63.46, 16900781006810.0, 30.04, 1.422
196, 16415682560.0, 33.79, 0.678, 80.85, 31463359737400.0, 20.27, 0.696
197, 27028162290.0, 20.54, 0.916, 76.44, 27730848999020.0, 29.63, 1.508
198, 49138368270.0, 30.54, 0.421, 63.85, 22893767209050.0, 39.43, 0.639
199, 29483086620.0, 28.03, 0.825, 86.87, 9734898426530.0, 32.75, 1.719
200, 6669658770.0, 38.03, 0.614, 68.66, 34055195045470.0, 22.56, 1.133
